,no_of_clusters,sum_of_squared_error
0,1,252079.98482293473
1,2,209678.89948561921
2,3,191840.9643727751
3,4,179784.8730617265
4,5,167604.95967665676
5,6,159130.72555640552
6,7,151427.06620431325
7,8,145595.01190350435
8,9,141429.58924002742
9,10,137052.17597274386
10,11,133845.1442651628
11,12,130997.27053106649
12,13,128101.8684221163
13,14,125862.09194889259
14,15,123813.62745617876
15,16,122091.65691416433
16,17,120293.73148940936
17,18,118461.29457136383
18,19,116941.02657766522
