,Number_of_Clusters,K_Means_Score
0,1,29650.000000000007
1,2,14815.659598844837
2,3,9412.398233481528
3,4,5305.104063717904
4,5,3978.696264009662
5,6,2812.7029620649023
6,7,2203.564151773057
7,8,1722.1843808868853
8,9,1323.1346185741656
9,10,1102.9284828451687
10,11,906.7759846829559
11,12,774.5123988357783
12,13,666.4094869297508
13,14,563.1597310159483
14,15,495.3668750316699
15,16,422.84349686886395
16,17,368.85613949841917
17,18,336.9482731672157
18,19,304.52363914518816
