,num_rating
0,10.0
1,9.0
2,7.0
3,3.0
4,7.0
5,8.0
6,8.0
7,8.0
8,6.0
9,8.0
10,8.0
11,6.0
12,6.0
13,10.0
14,10.0
15,9.0
16,9.0
17,8.0
18,7.0
19,5.0
20,9.0
21,10.0
22,8.0
23,10.0
24,10.0
25,2.0
26,10.0
27,10.0
28,10.0
29,10.0
30,8.0
31,10.0
32,9.0
33,7.0
34,10.0
35,9.0
36,9.0
37,6.0
38,10.0
39,2.0
40,5.0
41,10.0
42,9.0
43,10.0
44,10.0
45,10.0
46,10.0
47,6.0
48,6.0
49,6.0
50,10.0
51,10.0
52,10.0
53,10.0
54,10.0
55,10.0
56,6.0
57,10.0
58,4.0
59,10.0
60,10.0
61,6.0
62,10.0
63,6.0
64,6.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,6.0
73,8.0
74,3.0
75,9.0
76,9.0
77,8.0
78,8.0
79,10.0
80,10.0
81,6.0
82,6.0
83,9.0
84,9.0
85,5.0
86,9.0
87,7.0
88,9.0
89,7.0
90,8.0
91,10.0
92,9.0
93,9.0
94,2.0
95,8.0
96,7.0
97,8.0
98,8.0
99,6.0
100,3.0
101,7.0
102,6.0
103,8.0
104,9.0
105,3.0
106,9.0
107,8.0
108,7.0
109,10.0
110,8.0
111,5.0
112,9.0
113,10.0
114,10.0
115,10.0
116,7.0
117,9.0
118,9.0
119,6.0
120,10.0
121,9.0
122,8.0
123,7.0
124,9.0
125,9.0
126,5.0
127,10.0
128,6.0
129,10.0
130,10.0
131,10.0
132,10.0
133,8.0
134,5.0
135,8.0
136,9.0
137,10.0
138,5.0
139,10.0
140,10.0
141,10.0
142,6.0
143,7.0
144,4.0
145,10.0
146,4.0
147,7.0
148,10.0
149,10.0
150,4.0
151,9.0
152,9.0
153,6.0
154,6.0
155,8.0
156,8.0
157,7.0
158,10.0
159,9.0
160,10.0
161,5.0
162,8.0
163,9.0
164,8.0
165,7.0
166,9.0
167,8.0
168,10.0
169,10.0
170,8.0
171,10.0
172,8.0
173,10.0
174,7.0
175,7.0
176,9.0
177,9.0
178,7.0
179,7.0
180,9.0
181,7.0
182,8.0
183,5.0
184,9.0
185,9.0
186,10.0
187,7.0
188,9.0
189,9.0
190,9.0
191,10.0
192,8.0
