,cluster,x,y
0,-1,-71.35582,-18.1497
1,-1,11.173174,70.5082
2,1,-42.078194,3.8008437
3,-1,42.074535,31.727127
4,1,-10.118166,-27.095509
5,0,79.351074,-2.5598464
6,-1,-18.991934,-29.139793
7,-1,-37.031044,38.827526
8,-1,-13.748914,-11.500631
9,1,-8.900396,-36.988823
10,-1,-2.5918813,-80.69546
11,-1,-36.973183,38.123928
12,3,43.287746,60.212845
13,-1,-73.98948,14.098097
14,-1,2.5338447,18.114183
15,2,-26.271063,63.276012
16,-1,31.45041,-28.098152
17,0,32.09399,-59.649776
18,-1,21.997612,14.449725
19,-1,50.962933,53.595722
20,-1,45.952183,-50.942585
21,-1,-7.0919137,40.196087
22,2,-19.365046,66.85154
23,-1,24.510372,47.929848
24,-1,76.9182,17.67221
25,-1,5.874251,9.268095
26,-1,58.923096,-34.321365
27,3,40.67277,11.04665
28,-1,25.278486,-49.03531
29,3,35.920605,36.127632
30,3,48.374626,57.41015
31,-1,20.98192,-55.788696
32,2,-4.474707,67.92039
33,1,-15.914406,-14.542536
34,0,64.384125,-15.909327
35,-1,17.835169,-67.03859
36,0,-0.2800862,-85.207634
37,0,60.040436,-40.671978
38,0,55.843132,-27.167564
39,3,62.879513,41.453766
40,2,-10.553222,58.053616
41,1,-5.043816,-31.55087
42,1,-14.755061,-27.475094
43,3,34.05278,14.823442
44,3,0.5243016,11.745121
45,-1,4.488015,5.978145
46,0,40.587387,-59.76645
47,3,44.90365,51.746002
48,1,-28.666323,-37.53069
49,3,-9.007882,16.483368
50,-1,-13.566313,-12.798613
51,-1,16.858372,-15.680577
52,-1,-24.1108,-67.08049
53,2,-22.543575,59.75282
54,2,-3.2063425,64.63019
55,0,38.923492,-59.265015
56,-1,-49.49929,41.885826
57,1,-73.2854,-0.4527538
58,2,-35.43134,45.934742
59,0,30.420187,-61.556488
60,-1,-54.471184,-53.454205
61,3,55.188732,43.943916
62,3,28.328737,20.14207
63,1,-0.8049111,-33.615025
64,-1,-48.408447,-54.775032
65,2,-26.445974,67.280106
66,-1,-40.934776,36.867237
67,-1,5.5421543,8.920071
68,-1,16.07761,52.196857
69,-1,68.96667,-2.1186833
70,-1,-75.689766,7.222997
71,0,76.09173,-3.7868407
72,0,35.5303,-63.275562
73,3,-6.9509816,18.413153
74,-1,-42.638306,35.236656
75,1,-2.2124715,-38.70833
